Age_BP,Temp_C
95.1409,-31.5913
107.13000000000001,-31.622
113.149,-31.6026
119.20500000000001,-31.6002
119.20500000000001,-31.598
125.45100000000001,-31.6656
132.407,-31.7235
138.80700000000002,-31.7583
145.126,-31.8098
152.263,-31.8415
152.263,-31.8813
159.38,-31.9559
165.464,-32.0241
171.847,-32.038
179.421,-31.9872
186.62300000000002,-31.9689
193.605,-31.9954
200.585,-32.022
200.585,-32.0291
208.10600000000002,-32.0198
215.304,-32.0128
223.06799999999998,-32.0254
231.056,-32.0263
238.56199999999998,-32.0213
245.66299999999998,-32.0117
253.46099999999998,-32.0337
261.287,-32.0807
268.471,-32.072
275.943,-32.0267
284.12199999999996,-32.0002
292.52299999999997,-31.988
292.52299999999997,-32.0024
299.88,-32.0013
307.30600000000004,-32.0133
314.683,-32.0339
322.11400000000003,-32.0898
330.199,-32.0848
338.479,-32.0848
346.279,-32.037
354.18699999999995,-32.005
361.642,-31.9876
369.36,-31.9811
377.25199999999995,-31.9811
385.137,-31.9926
393.70500000000004,-31.9715
402.092,-31.942
409.803,-31.9187
417.837,-31.9126
426.195,-31.9385
435.395,-31.9591
444.124,-31.9648
444.124,-32.0093
452.151,-32.0243
460.146,-31.9889
468.21000000000004,-31.942
477.154,-31.885
485.86,-31.8772
493.906,-31.8572
502.12800000000004,-31.884
510.54699999999997,-31.8584
519.61,-31.8444
529.9789999999999,-31.8076
538.161,-31.8108
546.961,-31.9024
555.7860000000001,-31.9472
563.878,-32.0128
571.7339999999999,-32.0312
579.8109999999999,-32.016
588.1840000000001,-31.99
596.972,-31.9488
604.8480000000001,-31.9144
613.3380000000001,-31.8792
621.464,-31.8316
629.783,-31.7896
638.325,-31.7176
646.9,-31.7244
655.2710000000001,-31.7816
663.814,-31.7732
672.3679999999999,-31.7012
681.144,-31.6588
689.778,-31.7204
698.622,-31.7436
707.583,-31.8088
716.2539999999999,-31.8296
724.727,-31.8896
733.7439999999999,-31.9744
742.976,-31.9956
751.827,-31.9024
760.574,-31.7144
769.708,-31.5472
779.4499999999999,-31.4508
789.362,-31.3852
798.428,-31.3748
807.7220000000001,-31.3456
816.94,-31.3132
826.615,-31.3156
835.7379999999999,-31.3444
844.395,-31.36
852.799,-31.3656
860.838,-31.3844
869.22,-31.378
878.4110000000001,-31.3224
886.462,-31.2496
895.097,-31.2776
903.091,-31.2616
912.2280000000001,-31.2084
922.222,-31.0276
931.148,-30.9288
939.188,-30.8272
947.684,-30.6236
955.8670000000001,-30.4956
964.939,-30.4628
973.903,-30.5276
981.625,-30.6348
990.328,-30.6732
998.549,-30.6752
1008.06,-30.7012
1016.75,-30.7436
1024.98,-30.886
1033.73,-30.986
1042.65,-31.0792
1051.26,-31.0816
1059.27,-31.0876
1068.1799999999998,-31.0812
1077.1599999999999,-31.1404
1086.41,-31.1968
1095.54,-31.2252
1104.13,-31.26
1113.06,-31.3228
1121.25,-31.45
1130.51,-31.5652
1139.04,-31.5872
1147.3500000000001,-31.6168
1155.8600000000001,-31.666
1164.76,-31.8344
1173.2800000000002,-31.9684
1180.46,-32.0592
1188.8700000000001,-32.1312
1197.94,-32.1568
1206.2600000000002,-32.1876
1214.72,-32.1728
1224.0,-32.1616
1232.5900000000001,-32.142
1241.5400000000002,-32.0588
1249.5400000000002,-32.0
1258.01,-31.9184
1266.91,-31.914
1276.0800000000002,-31.8824
1285.9,-31.8288
1285.9,-31.7664
1295.24,-31.7312
1295.24,-31.7696
1304.0400000000002,-31.79
1304.0400000000002,-31.7968
1312.23,-31.7416
1312.23,-31.7568
1320.75,-31.8148
1329.46,-31.8756
1337.92,-31.8216
1346.97,-31.678
1356.1000000000001,-31.6064
1356.1000000000001,-31.54
1365.15,-31.4136
1375.5,-31.3372
1455.17,-31.2064
1465.24,-31.1224
1474.77,-31.0504
1484.54,-30.972
1495.5,-30.8616
1505.24,-30.6132
1514.8600000000001,-30.406
1561.5,-30.8536
1570.94,-30.8684
1581.2,-30.8528
1586.1000000000001,-30.8248
1586.1000000000001,-30.8028
1610.08,-30.6912
1615.4299999999998,-30.6036
1620.76,-30.4744
1639.27,-30.5144
1649.24,-30.548
1659.27,-30.6032
1668.52,-30.6744
1678.6799999999998,-30.784
1688.81,-30.9292
1688.81,-31.054
1699.48,-31.0616
1709.41,-31.0372
1718.93,-31.1236
1728.9399999999998,-31.038
1739.28,-31.0952
1749.62,-31.06
1759.46,-31.062
1769.2,-31.0356
1780.29,-30.9572
1789.7099999999998,-30.9284
1800.35,-30.9844
1811.42,-31.0492
1823.15,-31.0444
1833.3,-31.0452
1842.8700000000001,-31.1384
1862.5100000000002,-31.2244
1871.47,-31.2044
1881.88,-31.1904
1892.1399999999999,-31.1048
1901.98,-31.0352
1912.45,-30.9324
1922.03,-30.8292
1931.0700000000002,-30.5908
1940.26,-30.4624
1946.08,-30.312
1958.5600000000002,-30.308
1968.49,-30.2532
1977.99,-30.2448
1987.76,-30.23
1997.4099999999999,-30.21
2006.8700000000001,-30.1052
2016.53,-29.9572
2019.2299999999998,-29.8624
2033.56,-29.8748
2046.1399999999999,-29.8372
2046.1399999999999,-29.7996
2057.1000000000004,-29.6404
2068.24,-29.5708
2078.9399999999996,-29.6412
2088.46,-29.6832
2099.2999999999997,-29.7492
2108.3599999999997,-29.7792
2116.16,-29.8368
2127.7599999999998,-29.8812
2139.09,-30.016
2149.19,-30.1064
2159.4,-30.116
2170.28,-30.024
2181.81,-29.984
2192.24,-29.99
2202.3100000000004,-30.0324
2212.4199999999996,-30.2
2222.78,-30.3908
2233.1400000000003,-30.5716
2242.9,-30.584
2252.95,-30.5556
2263.02,-30.6676
2272.97,-30.7688
2292.9300000000003,-30.682
2292.9300000000003,-30.608
2303.03,-30.4748
2313.7799999999997,-30.3012
2323.76,-30.1432
2333.94,-30.0964
2354.5,-30.1232
2354.5,-30.0996
2364.83,-30.1556
2372.52,-30.1732
2372.52,-30.2732
2394.24,-30.4764
2405.58,-30.5296
2413.46,-30.468
2426.53,-30.3708
2434.0099999999998,-30.3168
2441.8,-30.296
2457.2400000000002,-30.3252
2467.6200000000003,-30.3972
2478.1,-30.3908
2478.1,-30.3904
2499.88,-30.3548
2510.6600000000003,-30.3288
2521.09,-30.356
2530.11,-30.534
2541.44,-30.708
2553.75,-30.7632
2564.1699999999996,-30.8272
2574.83,-30.894
2586.38,-30.8808
2597.45,-30.8524
2608.55,-30.8228
2619.46,-30.7372
2630.5499999999997,-30.7356
2641.07,-30.7968
2651.62,-30.7888
2661.9100000000003,-30.716
2672.43,-30.5204
2682.7999999999997,-30.4736
2693.7799999999997,-30.5832
2704.38,-30.6768
2715.62,-30.8152
2726.15,-30.9
2737.76,-30.9512
2747.92,-30.9668
2758.7000000000003,-30.9428
2771.7900000000004,-30.9504
2783.87,-30.8692
2794.7000000000003,-30.7616
2805.21,-30.6812
2816.16,-30.6324
2826.8900000000003,-30.5648
2837.0899999999997,-30.55
2847.42,-30.5444
2856.2799999999997,-30.4556
2867.95,-30.4336
2879.13,-30.4768
2889.7599999999998,-30.5576
2900.92,-30.598
2911.6499999999996,-30.5196
2922.35,-30.5196
2933.49,-30.5792
2944.18,-30.6144
2955.23,-30.6136
2965.84,-30.584
2976.28,-30.5716
2986.84,-30.55
2998.08,-30.6104
3009.57,-30.6812
3020.42,-30.6904
3031.6200000000003,-30.682
3042.36,-30.7092
3042.36,-30.6628
3053.23,-30.614
3064.01,-30.7688
3074.77,-30.8804
3085.33,-30.7972
3096.39,-30.5932
3108.0299999999997,-30.3016
3120.79,-30.1508
3133.29,-30.0836
3145.54,-29.982
3158.23,-29.8252
3169.81,-29.6896
3181.1099999999997,-29.6084
3193.2,-29.5512
3204.0299999999997,-29.52
3214.5800000000004,-29.4428
3227.6099999999997,-29.27
3237.71,-29.1308
3248.64,-29.046
3260.1800000000003,-28.9916
3274.39,-28.912
3286.1,-28.802
3297.07,-28.748
3308.47,-28.8592
3320.32,-29.152
3331.1099999999997,-29.5372
3343.2,-29.7272
3354.72,-29.6492
3367.3700000000003,-29.7116
3378.6800000000003,-29.9108
3378.6800000000003,-30.0028
3390.53,-30.042
3402.28,-30.068
3410.73,-30.0736
3425.56,-30.104
3437.44,-30.09
3449.3399999999997,-30.1524
3462.06,-30.2792
3491.26,-30.3076
3510.2799999999997,-30.4036
3522.52,-30.5624
3533.88,-30.5792
3544.95,-30.4848
3557.81,-30.3464
3569.09,-30.2572
3581.5800000000004,-30.1548
3605.74,-29.9812
3617.5099999999998,-29.7988
3626.31,-29.8404
3636.24,-29.896
3651.83,-29.9384
3665.1699999999996,-30.1136
3676.8999999999996,-30.2796
3688.97,-30.396
3701.28,-30.476
3713.43,-30.3912
3725.2900000000004,-30.2644
3736.11,-30.2116
3747.2599999999998,-30.2676
3759.66,-30.3796
3772.0600000000004,-30.5124
3784.02,-30.5568
3796.0099999999998,-30.768
3808.16,-30.7912
3817.44,-30.85
3832.1800000000003,-31.008
3843.79,-31.0768
3855.57,-31.046
3867.21,-31.0388
3880.09,-31.09
3888.3,-31.156
3904.87,-31.1772
3916.4300000000003,-31.1752
3929.05,-31.2212
3941.7200000000003,-31.2308
3953.6699999999996,-31.1632
3966.4700000000003,-31.088
3978.73,-31.0604
3989.62,-31.0708
3989.62,-31.0932
4016.89,-30.9952
4016.89,-30.914
4029.42,-30.9148
4041.6100000000006,-30.9116
4054.4,-30.7012
4067.09,-30.6292
4079.96,-30.6284
4092.0899999999997,-30.5092
4103.32,-30.4428
4117.8,-30.3648
4130.099999999999,-30.3132
4143.78,-30.3044
4156.139999999999,-30.2968
4168.17,-30.3596
4182.43,-30.4568
4195.070000000001,-30.4828
4207.5199999999995,-30.3596
4219.280000000001,-30.2096
4231.73,-30.184
4244.4,-30.1632
4256.79,-30.1116
4269.110000000001,-30.2252
4294.27,-30.4428
4294.27,-30.4512
4307.31,-30.6972
4320.070000000001,-30.7604
4332.97,-30.8104
4345.21,-30.9116
4357.67,-30.9476
4370.4400000000005,-31.0528
4380.4,-31.0964
4395.900000000001,-31.026
4409.16,-31.0648
4421.79,-31.19
4433.29,-31.3324
4445.44,-31.4752
4460.16,-31.5024
4473.02,-31.4716
4485.59,-31.4972
4498.01,-31.4992
4510.66,-31.4524
4520.62,-31.1728
4536.26,-31.0408
4549.610000000001,-31.0936
4562.99,-31.1496
4575.88,-31.1792
4588.79,-31.262
4602.610000000001,-31.5564
4615.38,-31.7592
4628.650000000001,-31.6288
4641.13,-31.546
4654.35,-31.5604
4667.28,-31.492
4680.990000000001,-31.524
4692.71,-31.6804
4706.96,-31.7636
4719.55,-31.8592
4731.849999999999,-31.9392
4744.97,-31.99
4759.2,-32.0408
4771.06,-31.9772
4784.46,-31.9276
4798.21,-31.9264
4811.47,-31.6268
4824.09,-31.1784
4835.94,-31.0256
4851.13,-31.0276
4857.74,-31.002
4878.3099999999995,-30.888
4891.200000000001,-30.8236
4904.080000000001,-30.7664
4917.32,-30.6044
4930.74,-30.526
4943.26,-30.3604
4957.429999999999,-30.2396
4970.54,-30.24
4983.65,-30.2272
4996.37,-30.0832
5009.9,-29.9044
5023.75,-29.9024
5037.89,-30.1796
5051.63,-30.3712
5065.91,-30.3268
5079.0,-30.25
5092.1900000000005,-30.2488
