,fix,anomaly,contexts
0,4,4,"[Age                                                         3774
Error                                                         25
Material                                                   Wheat
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                         NaN
Lat                                                          NaN
LocAccuracy                                                    0
Period                                                       NaN
SiteID                                                       NaN
SiteName                                           4-MSR—Binjore
Country                                                      NaN
Province                                                     NaN
Continent                                                   Asia
Source                                        GuedesBocinsky2018
Reference      Verpoorte A. 2004. Antiquity 300: 257-267. Pre...
Region                                                   Unknown
Name: GDA-4273, dtype: object]"
1,Adh,Adh,"[Age                            6290
Error                            70
Material                   charcoal
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                          44.71
Lat                           14.35
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName       Sedd Adh-Dhra´a II 2
Country                       Yemen
Province                        NaN
Continent                      Asia
Source                      CONTEXT
Reference            Wilkinson 1997
Region                      Unknown
Name: BETA-90836, dtype: object, Age                            7080
Error                           140
Material                   charcoal
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                          44.71
Lat                           14.35
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName       Sedd Adh-Dhra´a II 1
Country                       Yemen
Province                        NaN
Continent                      Asia
Source                      CONTEXT
Reference            Wilkinson 1997
Region                      Unknown
Name: BETA-90837, dtype: object]"
2,Batka,Batka,"[Age                              7090
Error                              35
Material       Large mammal long bone
Taxa                              NaN
d13C                              NaN
Method                            NaN
Long                              NaN
Lat                               NaN
LocAccuracy                         0
Period                            NaN
SiteID                            NaN
SiteName             Perlez-Batka ‘C’
Country                        Serbia
Province                          NaN
Continent                      Europe
Source                          14SEA
Reference                         NaN
Region                        Unknown
Name: OXA-8607OXA10146, dtype: object]"
3,Bozkov,Baz’kov,"[Age                                7270
Error                                70
Material                    Animal bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                                NaN
Lat                                 NaN
LocAccuracy                           0
Period                              NaN
SiteID                              NaN
SiteName                 Baz’kov Ostrov
Country                         Ukraine
Province                            NaN
Continent                        Europe
Source                            14SEA
Reference      Kotova 2009: 169 Table 6
Region                          Unknown
Name: KI-8167, dtype: object]"
4,Bahia,Ba≈°àa,"[Age                                        5827
Error                                        33
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     18.622
Lat                                      44.518
LocAccuracy                                   3
Period                                      NaN
SiteID                                      NaN
SiteName       Gornja Tuzla ‚Äì Safetova Ba≈°àa
Country                  Bosnia and Herzegovina
Province                                    NaN
Continent                                Europe
Source                  Silva_VanderLinden_2017
Reference         Vander Linden et al. in press
Region                                  Unknown
Name: OXA-23298, dtype: object]"
5,NEEDS_EXPERT,Ballar√ɬâ€ÂÂ,"[Age                        3460
Error                        60
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    2.02492
Lat                     41.5493
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName       Can Ballar√ɬâ€ÂÂ
Country                   Spain
Province                    NaN
Continent                Europe
Source                  RADON-B
Reference                   NaN
Region                  Unknown
Name: UBAR-557, dtype: object]"
6,Barbers,Barber’s,"[Age                                        1265
Error                                        35
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     1.5545
Lat                                     52.1603
LocAccuracy                                   2
Period                                      NaN
SiteID                                      NaN
SiteName       Barber’s Point Friston Aldeburgh
Country                          United Kingdom
Province                                    NaN
Continent                                Europe
Source                                Bevan2017
Reference                                   NaN
Region                                  Unknown
Name: SUERC-51210, dtype: object]"
7,NEEDS_EXPERT,Betx√ɬâ‰ÂÂ,"[Age                              3640
Error                              70
Material                          NaN
Taxa                              NaN
d13C                              NaN
Method                            NaN
Long                        -0.509718
Lat                           39.5267
LocAccuracy                         2
Period                            NaN
SiteID                            NaN
SiteName       La Lloma de Betx√ɬâ‰ÂÂ
Country                         Spain
Province                          NaN
Continent                      Europe
Source                        RADON-B
Reference         Balsera et al. 2015
Region                        Unknown
Name: BETA-195317, dtype: object, Age                              3400
Error                              40
Material                          NaN
Taxa                              NaN
d13C                              NaN
Method                            NaN
Long                        -0.509718
Lat                           39.5267
LocAccuracy                         2
Period                            NaN
SiteID                            NaN
SiteName       La Lloma de Betx√ɬâ‰ÂÂ
Country                         Spain
Province                          NaN
Continent                      Europe
Source                        RADON-B
Reference         Balsera et al. 2015
Region                        Unknown
Name: BETA-195318, dtype: object]"
8,Silos,Bilo’s,"[Age                                        1016
Error                                        27
Material                               charcoal
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                    -3.2847
Lat                                     51.9909
LocAccuracy                                   2
Period                                      NaN
SiteID                                      NaN
SiteName       St Bilo’s Church Llanfilo Brecon
Country                          United Kingdom
Province                                    NaN
Continent                                Europe
Source                                Bevan2017
Reference                                   NaN
Region                                  Unknown
Name: UBA-22405, dtype: object]"
9,Białcz,Bia√Ö‚Äöcz,"[Age                          5340
Error                          70
Material                 charcoal
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                      16.5229
Lat                       52.0845
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Bia√Ö‚Äöcz Stary 4
Country                    Poland
Province                      NaN
Continent                  Europe
Source            EUROEVOL; RADON
Reference                     NaN
Region                    Unknown
Name: GD-1608, dtype: object, Age                          5860
Error                          50
Material                 charcoal
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                      16.5229
Lat                       52.0845
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Bia√Ö‚Äöcz Stary 4
Country                    Poland
Province                      NaN
Continent                  Europe
Source            EUROEVOL; RADON
Reference                     NaN
Region                    Unknown
Name: GD-1753, dtype: object, Age                          5820
Error                          80
Material                 charcoal
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                      16.5229
Lat                       52.0845
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Bia√Ö‚Äöcz Stary 4
Country                    Poland
Province                      NaN
Continent                  Europe
Source            EUROEVOL; RADON
Reference                     NaN
Region                    Unknown
Name: GD-2054, dtype: object]"
