,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,removal_reason
0,ANSTOOZC-241,10800,80,,,,,10.35,44.0769,1,,,Riparo di Molino di Piastricoli,Italy,,Europe,Vermeersch2019,Mussi M.  2011. QI 242: 360-370. Skeates Robin,Unknown lab ID
1,ANUAGIFA-31512,45200,2400,charcoal,,,,19.7949,50.0163,1,,,Piekary II,Poland,,Europe,Vermeersch2019,Valladas H.  Eurasian Prehistory 1: 57-82,Unknown lab ID
2,AUB-9493A,536,38,SEEDS,nutshell,,AMS,-83.02414741,39.64195296,1,,33PI880,Reinhardt,USA,Ohio,North America,UWyo2021,Nolan 2010 2012,Unknown lab ID
3,AUB-9494,648,33,SEEDS,nutshell,,AMS,-83.02414741,39.64195296,1,,33PI880,Reinhardt,USA,Ohio,North America,UWyo2021,Nolan 2012,Unknown lab ID
4,AUB-9496A,554,41,SEEDS,nutshell,,AMS,-83.02414741,39.64195296,1,,33PI880,Reinhardt,USA,Ohio,North America,UWyo2021,Nolan 2012,Unknown lab ID
5,AUB-9497A,582,36,SEEDS,nutshell,,AMS,-83.02414741,39.64195296,1,,33PI880,Reinhardt,USA,Ohio,North America,UWyo2021,Nolan 2012,Unknown lab ID
6,BETADICARB-1,1800,150,CHARCOAL,,,RADIOMETRIC,-94.34645755,39.00849178,1,,23JA110,Sohn,USA,Missouri,North America,UWyo2021,,Unknown lab ID
7,BETADICARB-2,1710,80,CHARCOAL,,,RADIOMETRIC,-94.34645755,39.00849178,1,,23JA110,Sohn,USA,Missouri,North America,UWyo2021,,Unknown lab ID
8,BETAN-000004,3400,40,Charcoal,,,,-68.0736,-23.8065,2,,,Tulan-94,Chile,,South America,SCAR,Panachuk L. 2011:82 /   Jucilene Amorim Costa 2008 - Diss mestrado,Unknown lab ID
9,BETANA-1,620,50,restes d'animaux carbonisés; charred animal remains,,-22.1,,-73.26733778,45.38591303,1,,,Pointe-du-Buisson Station 2,Canada,Quebec,North America,CARD,Clermont 1995,Unknown lab ID
10,BETANA-2,620,60,restes d'animaux carbonisés; charred animal remains,,-24.5,,-73.26733778,45.38591303,1,,,Pointe-du-Buisson Station 2,Canada,Quebec,North America,CARD,Clermont 1995,Unknown lab ID
